name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,introduction,search_city
Nawlins Style Po’Boys,"1207 1st St N, Alabaster, AL 35007, United States",,+1 205-358-8105,140.0,4.6,No,Yes,Yes,Cajun restaurant,,None Found,Alabaster
Taco kings,"9737 Montevallo Rd #119, Alabaster, AL 35007, United States",,,11.0,5.0,No,Yes,Yes,Taco restaurant, · Closes 10:30PM,None Found,Alabaster
Beulah Mae's southern. Kitchen,"601 1st St SW, Alabaster, AL 35007, United States",,+1 205-720-4898,38.0,4.5,No,No,Yes,Family restaurant, · Opens 4PM,None Found,Alabaster
Taqueria Ortega,"151 Industrial Rd, Alabaster, AL 35007, United States",,,14.0,4.7,No,No,No,Mexican restaurant,,None Found,Alabaster
Nettie B's Grill,"1104 1st St S, Alabaster, AL 35007, United States",,+1 205-576-6476,26.0,4.7,No,Yes,Yes,Fast food restaurant, · Opens 10AM Wed,None Found,Alabaster
Brother Paul's BBQ & Catering,"200 1st St S, Alabaster, AL 35007, United States",brotherpaulsbbq.org,+1 205-500-1067,114.0,4.8,No,No,Yes,Restaurant, · Closes 7PM,None Found,Alabaster
Frios Gourmet Pops - Alabaster,"105 Newgate Rd, Alabaster, AL 35007, United States",friospops.com,+1 205-358-8862,181.0,4.5,No,No,Yes,Mexican restaurant, · Closes 9PM,None Found,Alabaster
Taqueria Taco Fiesta,"228 1st St SW, Alabaster, AL 35007, United States",facebook.com,+1 205-358-8862,181.0,4.8,No,Yes,Yes,Mexican restaurant, · Opens 11AM Sun,None Found,Alabaster
Momo's Cajun Eatz,"7850 US-31, Calera, AL 35040, United States",momoscajuneatz.com,+1 205-598-1008,82.0,4.8,No,Yes,Yes,Cajun restaurant, · Closes 8PM,None Found,Alabaster
Fuego Bites,"11 Co Rd 26, Alabaster, AL 35007, United States",fuegobitesmenu.my.canva.site,+1 205-756-9356,6.0,5.0,No,Yes,No,Restaurant,Open · Closes 10PM,None Found,Alabaster
Hit Different! BBQ & Grill,"3569 Pelham Pkwy Suites 1 and 2, Pelham, AL 35124, United States",hitdifferentfoodtruck.com,+1 205-358-8030,229.0,4.7,No,Yes,No,Restaurant, · Closes 8PM,None Found,Alabaster
Seven Den Tacos,"1400-1424 20th Ave, Calera, AL 35040, United States",facebook.com,+1 205-267-8825,68.0,4.9,No,No,Yes,Mexican restaurant, · Closes 3PM,None Found,Alabaster
Cantina Grill / Sneaky Petes,"7645 Hwy 119, Alabaster, AL 35007, United States",cantinagrilltogo.com,+1 205-620-1441,264.0,4.4,No,No,Yes,American restaurant, · Closes 7PM,None Found,Alabaster
El Taco Truck,"3308 Pelham Pkwy, Pelham, AL 35124, United States",ordereltacotruckpelham.com,+1 775-636-3199,2.0,2.0,No,No,Yes,Mexican restaurant, · Opens 5PM,None Found,Alabaster
Chick-fil-A,"125 Colonial Promenade Pkwy, Alabaster, AL 35007, United States",chick-fil-a.com,+1 205-685-1190,2762.0,4.6,No,No,Yes,Fast food restaurant,Open · Closes 10PM,Fast-food chain serving chicken sandwiches & nuggets along with salads & sides.,Alabaster
La Fiesta Snack Bar and Dulcería,"410 1st St SW, Alabaster, AL 35007, United States",facebook.com,+1 205-624-3191,76.0,4.3,No,No,Yes,Snack bar, · Closes 9PM,None Found,Alabaster
Pollo Goyo,"8101 US-31, Calera, AL 35040, United States",pollogoyoauthenticmexicanstreetfoodal.com,+1 205-663-7353,56.0,3.8,No,No,Yes,Restaurant, · Closes 10PM,None Found,Alabaster
The Copper Train,"224 1st St S Suite 200, Alabaster, AL 35007, United States",thecoppertrain.squarespace.com,+1 205-358-8179,282.0,4.7,No,No,Yes,Coffee shop,Open · Closes 3PM,None Found,Alabaster
Buck Creek Coffee Food Truck,,,,,,No,No,No,Mobile caterer, · Closes 1:30PM,None Found,Alabaster
Yuuuup It's Good,"7765 US-31, Calera, AL 35040, United States",facebook.com,+1 205-768-3976,12.0,4.3,No,No,Yes,Caterer, · Closes 7:30PM,None Found,Alabaster
Yuuuup It's Good,"7765 US-31, Calera, AL 35040, United States",facebook.com,+1 205-358-3004,64.0,4.9,No,Yes,Yes,Restaurant, · Closes 9PM,None Found,Alabaster
Hey Bebe Where Yat?,"6745 Hwy 17, Maylene, AL 35114, United States",heybebewhereyat.com,+1 205-358-3004,64.0,4.9,No,No,No,Restaurant, · Opens 4PM,None Found,Alabaster
Panther Bites Catering,"127 Stonehaven Way, Pelham, AL 35124, United States",thepantherbites.com,+1 205-612-4429,10.0,5.0,No,No,No,Catering food and drink supplier,,None Found,Alabaster
wasabi japanese sushi and bar,"390 S Colonial Dr, Alabaster, AL 35007, United States",wasabijapanesealabaster.com,+1 205-358-8993,376.0,4.7,No,Yes,Yes,Japanese restaurant, · Closes 10PM,None Found,Alabaster
Antojitos La Poblana,"224 2nd St NE, Alabaster, AL 35007, United States",usametrox.top,+1 205-722-3514,6.0,4.7,No,No,Yes,Restaurant, · Closes 8PM,None Found,Alabaster
Valentina's Kitchen,"7851 Hwy 72 W, Madison, AL 35758, United States",instagram.com,+1 256-468-2079,228,4.9,No,No,Yes,Mexican restaurant, · Closes 2:30PM · Reopens 5PM,None Found,Madison
New South Hot Dog & Sushi,"8006 Old Madison Pike Suite 18, Huntsville, AL 35806, United States",newsouthhotdogandsushi.com,+1 256-783-5499,44,4.6,No,No,No,Japanese restaurant,,None Found,Madison
Lena's Rolling Kitchen,,lenas-rolling-kitchen.square.site,+1 256-388-9131,8,5.0,No,No,No,Mobile caterer,,None Found,Albertville
Bee-Gee's,"1105 Baltimore Ave, Albertville, AL 35950, United States",beegeesrestaurant.com,+1 256-878-9294,1191,4.5,No,No,Yes,American restaurant, · Closes 9PM,None Found,Albertville
Busted Oak Bourbon Society,"111 E Main St, Albertville, AL 35950, United States",bustedoak.com,+1 256-857-2627,156,4.9,No,No,Yes,Restaurant, · Opens 4PM,None Found,Albertville
Ruby's Mexican Restaurant,"7530 US-431, Albertville, AL 35950, United States",doordash.com,+1 256-878-6810,782,4.3,No,No,Yes,Mexican restaurant, · Closes 10PM,None Found,Albertville
Rural King Tractors,"4340 US-431, Albertville, AL 35950, United States",ruralking.com,+1 256-857-2454,167,4.7,No,No,No,Tractor dealer, · Closes 9PM,None Found,Albertville
Serrano's Mexican,"1401 Carridale St SW Unit B, Decatur, AL 35601, United States",serranosmexicandecatur.com,+1 256-466-1043,223,4.5,No,Yes,Yes,Restaurant,Open · Closes 11PM,None Found,Decatur
El señor de Los tacos,"2800 Central Pkwy SW, Decatur, AL 35603, United States",,+1 256-326-2122,40,4.6,No,No,Yes,Taco restaurant, · Closes 10PM,None Found,Decatur
Scruggs BBQ,"1315 AL-20, Decatur, AL 35601, United States",scruggsbbq-al.com,+1 256-351-7937,666,4.7,No,No,Yes,Barbecue restaurant,Open · Closes 5PM,None Found,Decatur
Da Big Italian Food Truck and Catering,,usabiznova.top,+1 256-502-3886,11,4.1,No,No,No,Food and beverage consultant,,None Found,Decatur
"Mugshots Grill and Bar - Florence, AL","321 N Court St, Florence, AL 35630, United States",mugshotsgrillandbar.com,+1 256-415-8335,613,4.6,No,No,Yes,Hamburger restaurant,Open · Closes 10PM,"Convivial spot for burgers, sandwiches & salads, some with a Hawaiian twist, plus beer.",Florence
Stop for Breakfast,"8455 AL-63, Alexander City, AL 35010, United States",,+1 256-794-2394,7,4.9,No,Yes,Yes,Southern restaurant (US), · Opens 6AM Mon,None Found,Alexander City
Fanny's,"57 Russell Farms Rd, Alexander City, AL 35010, United States",fannysatcrossroads.com,+1 256-215-7090,116,4.0,No,No,Yes,Restaurant, · Closes 8PM,None Found,Alexander City
Chick-fil-A,"3899 US-280, Alexander City, AL 35010, United States",chick-fil-a.com,+1 938-867-4799,617,4.5,No,No,Yes,Fast food restaurant,Open · Closes 10PM,Fast-food chain serving chicken sandwiches & nuggets along with salads & sides.,Alexander City
Chick-fil-A,"3899 US-280, Alexander City, AL 35010, United States",burgerking.com,+1 256-329-2317,653,3.8,No,No,Yes,Fast food restaurant,Open · Closes 12AM,"Well-known fast-food chain serving grilled burgers, fries & shakes.",Alexander City
Burger King,"4250 US-280, Alexander City, AL 35010, United States",burgerking.com,+1 256-329-2317,653,3.8,No,No,Yes,Fast food restaurant,Open · Closes 12AM,"Well-known fast-food chain serving grilled burgers, fries & shakes.",Alexander City
Angie's Place,"404 3rd Ave NW, Aliceville, AL 35442, United States",angiesplace.getbento.com,+1 205-373-8100,79.0,4.3,No,Yes,Yes,Restaurant, · Closes 2PM,None Found,Aliceville
Food Fare,"517 5th St NW, Aliceville, AL 35442, United States",food-fare.edan.io,+1 205-373-8734,110.0,4.2,No,No,No,Grocery store, · Closes 7:30PM,None Found,Aliceville
Food Fare,"517 5th St NW, Aliceville, AL 35442, United States",food-fare.edan.io,+1 205-373-0075,9.0,4.7,No,No,Yes,Takeout Restaurant,,None Found,Aliceville
Mac's Place,"1st St NW, Aliceville, AL 35442, United States",,+1 205-373-0075,9.0,4.7,No,No,Yes,Takeout Restaurant,,None Found,Aliceville
Krispy Krunchy Chicken,"710 Memorial Pkwy, Aliceville, AL 35442, United States",locations.krispykrunchy.com,+1 662-694-1952,,,No,No,Yes,Chicken restaurant, · Closes 12AM,"Fast-food eatery specializing in Cajun-style fried chicken, plus wings, seafood, breakfast & more.",Aliceville
Smoke On Wills,"2451 2nd Ave E, Oneonta, AL 35121, United States",facebook.com,+1 205-994-0270,19,4.4,No,No,Yes,Restaurant, · Closes 11PM,None Found,Allgood
Taco Stand,"611 2nd Ave E Suite A, Oneonta, AL 35121, United States",facebook.com,+1 205-625-5602,77,4.6,No,No,No,Taco restaurant, · Closes 9PM,None Found,Allgood
Emily's Family Restaurant,"25450 AL-75, Oneonta, AL 35121, United States",,+1 205-274-0031,17,4.8,No,No,Yes,American restaurant, · Closes 2PM,None Found,Allgood
Pop Up Park,"Oneonta, AL 35121, United States",,,3,5.0,No,No,Yes,Family restaurant,,None Found,Allgood
Battle Axe's Feast,"195 Vulcan Rd, Birmingham, AL 35209, United States",facebook.com,+1 205-285-4943,37,5.0,No,No,Yes,Restaurant, · Closes 2PM,None Found,Vestavia Hills
Good Time Food Company,,,+1 659-241-7590,1,5.0,No,No,No,Catering food and drink supplier, · Closes 6PM,None Found,Vestavia Hills
City Bowls,"3036 Healthy Way #100, Birmingham, AL 35243, United States",thecitybowls.com,+1 205-848-7448,539,4.7,No,No,Yes,Health food restaurant, · Closes 8PM,None Found,Vestavia Hills
"Tops Food Truck, LLC","420 Holcombe Ave, Mobile, AL 36606, United States",topsfoodtruck.wixsite.com,+1 251-610-3729,91,4.7,No,No,Yes,Food court, · Closes 5PM,None Found,Altoona
Fire Meats Wood,,firemeatswood.com,+1 334-440-6499,38,4.4,No,No,No,Catering food and drink supplier, · 1PM · Opens 11AM Tue,None Found,Altoona
Simone's Kitchen ATL,"2321 Center Point Pkwy, Birmingham, AL 35215, United States",simoneskitchenatl.com,+1 205-315-5025,169,4.3,No,Yes,Yes,Mobile caterer,Open · Closes 12AM,None Found,Altoona
Sharecroppers Coffee and Creamery,"380 Greer Dr, Snead, AL 35952, United States",facebook.com,+1 251-800-1151,125,5.0,No,No,Yes,Coffee shop, · Closes 4PM,None Found,Altoona
The Rosemary Bistro,,therosemarybistro.com,,13,4.7,No,No,No,Caterer,,None Found,Prattville
